C010101,SI_POV_DAY1,KEN,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,MDG,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,MWI,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,MUS,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,MOZ,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,RWA,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,SYC,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,SSD,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,UGA,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,TZA,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,ZMB,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,ZWE,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,AGO,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,CMR,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,CAF,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,TCD,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,COG,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,COD,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,GAB,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,STP,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,BWA,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,LSO,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,NAM,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,ZAF,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,SWZ,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,BEN,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,BFA,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,CPV,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,CIV,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,GMB,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,GHA,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
C010101,SI_POV_DAY1,GIN,All age ranges or no breakdown by age,Both sexes or no breakdown by sex,,
